State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,49400,14142,1693,33561,05/05/2020 23:31:45,TT,2966,1297,127,
Maharashtra,15525,2819,617,12089,05/05/2020 22:52:46,MH,984,354,34,"[04-May]<br>
- Total numbers are updated to the final figure reported for 04th May. <br>
- This means an extra 796 cases are added to this date apart from the +771 as ""today's cases"" by the state.<br>
- Reason mentioned in state bulletin : ""Figures as per ICMR list are updated for districts and MC other than Mumbai""<br>"
Gujarat,6245,1381,368,4496,05/05/2020 21:02:46,GJ,441,186,49,
Delhi,5104,1468,64,3572,05/05/2020 21:02:47,DL,206,37,0,
Tamil Nadu,4058,1485,33,2540,05/05/2020 20:12:46,TN,508,76,2,
Rajasthan,3158,1525,89,1544,05/05/2020 22:02:46,RJ,97,87,12,
Madhya Pradesh,3049,1000,176,1873,05/05/2020 20:52:50,MP,107,144,11,
Uttar Pradesh,2880,987,56,1837,05/05/2020 22:14:46,UP,114,185,6,
Andhra Pradesh,1717,589,34,1094,05/05/2020 11:52:46,AP,67,65,1,
Punjab,1451,133,25,1293,05/05/2020 17:52:46,PB,219,5,2,
West Bengal,1344,264,140,940,05/05/2020 21:18:46,WB,85,46,7,"- Cases updated as per WB bulletin as it now provides total number of cases.<br>
- Deaths due to comorbidities added to total deceased<br>
- Zones updated as per WB bulletin<br>"
Telangana,1096,628,29,439,05/05/2020 23:12:46,TG,11,43,0,
Jammu and Kashmir,741,320,8,413,05/05/2020 19:02:46,JK,15,17,0,
Karnataka,673,331,29,312,05/05/2020 22:52:47,KA,22,10,2,One active case in KA reduced as a confirmed patient died of non-CoViD19 related reasons
Haryana,548,256,6,286,05/05/2020 19:22:46,HR,31,2,0,
Bihar,535,160,4,371,05/05/2020 21:52:49,BR,7,33,0,
Kerala,503,462,4,37,05/05/2020 17:12:42,KL,3,0,0,Mahe native who expired in Kannur included in Kerala's tally
Odisha,176,60,1,115,05/05/2020 21:52:50,OR,7,0,0,
Jharkhand,125,33,3,89,05/05/2020 23:23:46,JH,10,6,0,
Chandigarh,115,21,1,93,05/05/2020 19:02:49,CH,13,0,0,
Uttarakhand,61,39,1,21,05/05/2020 15:32:46,UT,1,0,0,
Chhattisgarh,59,36,0,23,05/05/2020 23:31:47,CT,1,0,0,
Assam,45,33,1,11,05/05/2020 23:02:46,AS,2,0,0,Includes one case from Nagaland
Ladakh,42,17,0,25,03/05/2020 14:32:47,LA,0,0,0,
Himachal Pradesh,42,34,3,2,04/05/2020 19:22:48,HP,1,0,1,"HP has 4 Migrated cases which are reduced from Active #. Also, death of Tibetan refugee is included in deceased numbers, but not in confirmed"
Andaman and Nicobar Islands,33,32,0,1,03/05/2020 18:52:51,AN,0,0,0,
Tripura,42,2,0,40,05/05/2020 23:02:47,TR,13,0,0,
Meghalaya,12,10,1,1,01/05/2020 16:02:47,ML,0,0,0,
Puducherry,9,6,0,3,05/05/2020 11:12:46,PY,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,0,0,
Mizoram,1,1,0,0,05/05/2020 22:32:47,MZ,0,1,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli,1,0,0,1,05/05/2020 22:12:46,DN,1,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
