State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,49581,14310,1698,33569,06/05/2020 16:21:45,TT,19739,7187,756,
Maharashtra,15525,2819,617,12089,06/05/2020 08:47:46,MH,6935,1537,248,"[05-May]<br>
- Total numbers are updated to the final figure reported for 05th May. <br>
- 796 cases added by MH govt. on 4th May due to data cleaning <br>
- 143 cases added by MH govt. on 5th May due to data cleaning <br>"
Gujarat,6245,1381,368,4496,05/05/2020 21:02:46,GJ,2697,987,206,
Delhi,5104,1468,64,3572,05/05/2020 21:02:47,DL,1996,591,10,
Tamil Nadu,4058,1485,33,2540,05/05/2020 20:12:46,TN,2008,465,8,
Rajasthan,3240,1536,90,1614,06/05/2020 15:22:46,RJ,905,792,39,
Madhya Pradesh,3049,1000,176,1873,05/05/2020 20:52:50,MP,884,643,66,
Uttar Pradesh,2880,987,56,1837,05/05/2020 22:14:46,UP,894,588,25,
Andhra Pradesh,1777,729,36,1012,06/05/2020 11:42:46,AP,518,471,5,
Punjab,1451,133,25,1293,05/05/2020 17:52:46,PB,1121,35,6,
West Bengal,1344,264,140,940,05/05/2020 21:18:46,WB,647,155,120,"- Cases updated as per WB bulletin as it now provides total number of cases.<br>
- Deaths due to comorbidities added to total deceased<br>
- Zones updated as per WB bulletin<br>"
Telangana,1096,628,29,439,05/05/2020 23:12:46,TG,93,296,4,
Jammu and Kashmir,741,320,8,413,05/05/2020 19:02:46,JK,176,144,0,
Karnataka,692,345,29,317,06/05/2020 12:35:46,KA,169,138,9,One active case in KA reduced as a confirmed patient died of non-CoViD19 related reasons
Haryana,555,260,6,289,06/05/2020 15:52:46,HR,250,38,3,
Bihar,539,158,4,377,06/05/2020 16:12:46,BR,179,101,2,
Kerala,503,462,4,37,05/05/2020 17:12:42,KL,17,103,0,Mahe native who expired in Kannur included in Kerala's tally
Odisha,180,61,3,116,06/05/2020 16:12:47,OR,62,23,2,
Jharkhand,125,33,3,89,05/05/2020 23:40:46,JH,21,16,0,
Chandigarh,119,21,1,97,06/05/2020 10:32:46,CH,63,4,1,
Uttarakhand,61,39,1,21,05/05/2020 15:32:46,UT,10,13,1,
Chhattisgarh,59,36,0,23,05/05/2020 23:32:46,CT,22,2,0,
Assam,45,33,1,11,05/05/2020 23:02:46,AS,7,6,0,Includes one case from Nagaland
Ladakh,42,17,0,25,03/05/2020 14:32:47,LA,20,1,0,
Himachal Pradesh,43,34,3,3,06/05/2020 16:21:46,HP,3,9,1,"HP has 4 Migrated cases which are reduced from Active #. Also, death of Tibetan refugee is included in deceased numbers, but not in confirmed"
Andaman and Nicobar Islands,33,32,0,1,03/05/2020 18:52:51,AN,0,17,0,
Tripura,42,2,0,40,05/05/2020 23:02:47,TR,40,0,0,
Meghalaya,12,10,1,1,01/05/2020 16:02:47,ML,0,10,0,
Puducherry,9,6,0,3,05/05/2020 11:12:46,PY,1,1,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,0,0,
Mizoram,1,1,0,0,05/05/2020 22:32:47,MZ,0,1,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli and Daman and Diu,1,0,0,1,05/05/2020 22:12:46,DN,1,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
