State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,59203,17561,1980,39658,08/05/2020 21:33:07,TT,2852,785,91,
Maharashtra,19063,3470,731,14862,08/05/2020 20:54:08,MH,1089,169,37,"[05-May]<br>
- Total numbers are updated to the final figure reported for 05th May. <br>
- 796 cases added by MH govt. on 4th May due to data cleaning <br>
- 143 cases added by MH govt. on 5th May due to data cleaning <br>"
Gujarat,7403,1872,449,5082,08/05/2020 20:14:10,GJ,390,163,24,
Delhi,5980,1931,66,3983,07/05/2020 23:02:46,DL,0,0,0,
Tamil Nadu,6009,1605,40,4364,08/05/2020 18:53:20,TN,600,58,3,
Rajasthan,3491,1916,100,1475,08/05/2020 15:28:08,RJ,64,27,1,
Madhya Pradesh,3341,1349,200,1792,08/05/2020 20:33:09,MP,89,118,7,
Uttar Pradesh,3214,1250,66,1898,08/05/2020 21:33:08,UP,143,0,4,
Andhra Pradesh,1887,842,41,1004,08/05/2020 12:23:09,AP,54,62,3,
Punjab,1731,152,29,1550,08/05/2020 18:23:10,PB,87,3,1,
West Bengal,1678,323,160,1195,08/05/2020 20:23:10,WB,130,27,9,"- Cases updated as per WB bulletin as it now provides total number of cases.<br>
- Deaths due to comorbidities added to total deceased<br>
- Zones updated as per WB bulletin<br>"
Telangana,1132,727,29,376,08/05/2020 21:33:10,TG,10,34,0,
Jammu and Kashmir,823,364,9,450,08/05/2020 18:03:10,JK,30,29,0,
Karnataka,753,376,30,346,08/05/2020 17:33:10,KA,48,10,0,One active case in KA reduced as a confirmed patient died of non-CoViD19 related reasons
Haryana,647,279,8,360,08/05/2020 20:03:10,HR,22,19,1,
Bihar,574,267,5,302,08/05/2020 20:33:13,BR,24,49,0,
Kerala,504,484,4,16,08/05/2020 17:23:10,KL,1,10,0,Mahe native who expired in Kannur included in Kerala's tally
Odisha,270,63,2,205,08/05/2020 19:22:09,OR,51,1,0,
Chandigarh,146,21,1,124,08/05/2020 17:33:12,CH,11,0,0,
Jharkhand,132,41,3,88,07/05/2020 22:24:54,JH,0,0,0,
Tripura,88,2,0,86,07/05/2020 23:52:04,TR,0,0,0,
Uttarakhand,63,45,1,17,08/05/2020 17:33:14,UT,2,6,0,
Chhattisgarh,59,36,0,23,05/05/2020 23:32:46,CT,0,0,0,
Assam,57,35,2,20,08/05/2020 17:43:09,AS,3,0,1,Includes one case from Nagaland
Himachal Pradesh,50,34,3,10,08/05/2020 21:03:13,HP,4,0,0,"HP has 4 Migrated cases which are reduced from Active #. Also, death of Tibetan refugee is included in deceased numbers, but not in confirmed"
Ladakh,42,17,0,25,03/05/2020 14:32:47,LA,0,0,0,
Andaman and Nicobar Islands,33,33,0,0,07/05/2020 22:24:57,AN,0,0,0,
Meghalaya,12,10,1,1,01/05/2020 16:02:47,ML,0,0,0,
Puducherry,9,6,0,3,05/05/2020 11:12:46,PY,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,0,0,
Mizoram,1,1,0,0,05/05/2020 22:32:47,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Dadra and Nagar Haveli and Daman and Diu,1,0,0,1,05/05/2020 22:12:46,DN,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
